name,image_url
Sven Botman,https://resources.premierleague.com/premierleague/photos/players/40x40/p220237.png
Jarrod Bowen,https://resources.premierleague.com/premierleague/photos/players/40x40/p178186.png
Josh Bowler,https://resources.premierleague.com/premierleague/photos/players/40x40/p245830.png
Conor Bradley,https://resources.premierleague.com/premierleague/photos/players/40x40/p492777.png
Zak Bradshaw,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Cameron Bragg,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Kaden Braithwaite,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Jarrad Branthwaite,https://resources.premierleague.com/premierleague/photos/players/40x40/p480455.png
Sammy Braybrooke,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
James Bree,https://resources.premierleague.com/premierleague/photos/players/40x40/p184386.png
Ben Brereton,https://resources.premierleague.com/premierleague/photos/players/40x40/p204814.png
Ethan Brierley,https://resources.premierleague.com/premierleague/photos/players/40x40/p494041.png
Logan Briggs,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Nathan Broadhead,https://resources.premierleague.com/premierleague/photos/players/40x40/p173818.png
Ben Broggio,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Armando Broja,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Josh Brooking,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
David Brooks,https://resources.premierleague.com/premierleague/photos/players/40x40/p111317.png
Bruno Fernandes,https://resources.premierleague.com/premierleague/photos/players/40x40/p141746.png
Bruno Guimarães,https://resources.premierleague.com/premierleague/photos/players/40x40/p208706.png
Bruno Jordão,https://resources.premierleague.com/premierleague/photos/players/40x40/p428610.png
Gerard Buabo,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Emiliano Buendía,https://resources.premierleague.com/premierleague/photos/players/40x40/p195546.png
Hugo Bueno,https://resources.premierleague.com/premierleague/photos/players/40x40/p490721.png
Facundo Buonanotte,https://resources.premierleague.com/premierleague/photos/players/40x40/p536916.png
Cameron Burgess,https://resources.premierleague.com/premierleague/photos/players/40x40/p122411.png
Dan Burn,https://resources.premierleague.com/premierleague/photos/players/40x40/p78916.png
Wes Burns,https://resources.premierleague.com/premierleague/photos/players/40x40/p149929.png
Mason Burstow,https://resources.premierleague.com/premierleague/photos/players/40x40/p534392.png
Nathan Butler-Oyedeji,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Luke Butterfield,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Killian Cahill,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Moisés Caicedo,https://resources.premierleague.com/premierleague/photos/players/40x40/p486672.png
Tom Cairney,https://resources.premierleague.com/premierleague/photos/players/40x40/p76357.png
Jens Cajuste,https://resources.premierleague.com/premierleague/photos/players/40x40/p454667.png
Riccardo Calafiori,https://resources.premierleague.com/premierleague/photos/players/40x40/p466075.png
Duje Caleta-Car,https://resources.premierleague.com/premierleague/photos/players/40x40/p173271.png
Dominic Calvert-Lewin,https://resources.premierleague.com/premierleague/photos/players/40x40/p177815.png
Elijah Campbell,https://resources.premierleague.com/premierleague/photos/players/40x40/p491745.png
Thomas Cannon,https://resources.premierleague.com/premierleague/photos/players/40x40/p461416.png
Sergi Canós,https://resources.premierleague.com/premierleague/photos/players/40x40/p174932.png
Carlos Forbs,https://resources.premierleague.com/premierleague/photos/players/40x40/p463212.png
Carlos Miguel,https://resources.premierleague.com/premierleague/photos/players/40x40/p475123.png
Carlos Vinícius,https://resources.premierleague.com/premierleague/photos/players/40x40/p245824.png
Álvaro Carreras,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Scott Carson,https://resources.premierleague.com/premierleague/photos/players/40x40/p17601.png
Cesare Casadei,https://resources.premierleague.com/premierleague/photos/players/40x40/p505187.png
Casemiro,https://resources.premierleague.com/premierleague/photos/players/40x40/p61256.png
Kaelan Casey,https://resources.premierleague.com/premierleague/photos/players/40x40/p518438.png
Matty Cash,https://resources.premierleague.com/premierleague/photos/players/40x40/p199796.png
Dante Cassanova,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Timothy Castagne,https://resources.premierleague.com/premierleague/photos/players/40x40/p166477.png
Leo Castledine,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Cédric Soares,https://resources.premierleague.com/premierleague/photos/players/40x40/p58822.png
Trevoh Chalobah,https://resources.premierleague.com/premierleague/photos/players/40x40/p180736.png
Calum Chambers,https://resources.premierleague.com/premierleague/photos/players/40x40/p101184.png
Conor Chaplin,https://resources.premierleague.com/premierleague/photos/players/40x40/p196411.png
Dylan Charlton,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Federico Chiesa,https://resources.premierleague.com/premierleague/photos/players/40x40/p223541.png
Ben Chilwell,https://resources.premierleague.com/premierleague/photos/players/40x40/p172850.png
Chiquinho,https://resources.premierleague.com/premierleague/photos/players/40x40/p510363.png
Tawanda Chirewa,https://resources.premierleague.com/premierleague/photos/players/40x40/p497606.png
Leon Chiwome,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Samy Chouchane,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Hamza Choudhury,https://resources.premierleague.com/premierleague/photos/players/40x40/p197469.png
Ryan Christie,https://resources.premierleague.com/premierleague/photos/players/40x40/p158499.png
Carney Chukwuemeka,https://resources.premierleague.com/premierleague/photos/players/40x40/p478912.png
Bobby Clark,https://resources.premierleague.com/premierleague/photos/players/40x40/p491970.png
Nathaniel Clyne,https://resources.premierleague.com/premierleague/photos/players/40x40/p57328.png
Conor Coady,https://resources.premierleague.com/premierleague/photos/players/40x40/p94147.png
Séamus Coleman,https://resources.premierleague.com/premierleague/photos/players/40x40/p59949.png
Nathan Collins,https://resources.premierleague.com/premierleague/photos/players/40x40/p432830.png
Toby Collyer,https://resources.premierleague.com/premierleague/photos/players/40x40/p490881.png
Levi Colwill,https://resources.premierleague.com/premierleague/photos/players/40x40/p460028.png
Lewis Cook,https://resources.premierleague.com/premierleague/photos/players/40x40/p155408.png
Maxwel Cornet,https://resources.premierleague.com/premierleague/photos/players/40x40/p149519.png
Vladimír Coufal,https://resources.premierleague.com/premierleague/photos/players/40x40/p164555.png
Conor Coventry,https://resources.premierleague.com/premierleague/photos/players/40x40/p222017.png
Brandon Cover,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Matthew Cox,https://resources.premierleague.com/premierleague/photos/players/40x40/p503300.png
Amario Cozier-Duberry,https://resources.premierleague.com/premierleague/photos/players/40x40/p519324.png
Tristan Crama,https://resources.premierleague.com/premierleague/photos/players/40x40/p592661.png
Billy Crellin,https://resources.premierleague.com/premierleague/photos/players/40x40/p438405.png
Aaron Cresswell,https://resources.premierleague.com/premierleague/photos/players/40x40/p55459.png
Marc Cucurella,https://resources.premierleague.com/premierleague/photos/players/40x40/p179268.png
Jorge Cuenca,https://resources.premierleague.com/premierleague/photos/players/40x40/p246301.png
Luke Cundle,https://resources.premierleague.com/premierleague/photos/players/40x40/p245923.png
Ted Curd,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Eric da Silva Moreira,https://resources.premierleague.com/premierleague/photos/players/40x40/p569014.png
Michael Dacosta,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Patson Daka,https://resources.premierleague.com/premierleague/photos/players/40x40/p245419.png
Mikkel Damsgaard,https://resources.premierleague.com/premierleague/photos/players/40x40/p440089.png
Daniel Podence,https://resources.premierleague.com/premierleague/photos/players/40x40/p200600.png
Danilo,https://resources.premierleague.com/premierleague/photos/players/40x40/p513046.png
Arnaut Danjuma,https://resources.premierleague.com/premierleague/photos/players/40x40/p220307.png
Jayden Danns,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Josh Dasilva,https://resources.premierleague.com/premierleague/photos/players/40x40/p183656.png
David Carmo,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
David Datro Fofana,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Harvey Davies,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Keinan Davis,https://resources.premierleague.com/premierleague/photos/players/40x40/p221239.png
